"Sub-Workflow ID","Step Number","Step Name","Page/Component","File Path","User Action","UI Element Type","API Route","Call Style","Evidence"
"WF-01a","1","Enter signup form","Page","app/signup/page.tsx","Fill form fields","Form","None","None","app/signup/page.tsx"
"WF-01a","2","Submit registration","Page","app/signup/page.tsx","Click submit","Button","POST /api/auth/signup","fetch","app/signup/page.tsx:48"
"WF-01b","1","Enter credentials","Page","app/auth/signin/page.tsx","Fill email/password","Form","None","None","app/auth/signin/page.tsx"
"WF-01b","2","Submit signin","Page","app/auth/signin/page.tsx","Click sign in","Button","POST /api/auth/[...nextauth]","fetch","app/auth/signin/page.tsx:21"
"WF-01c","1","Request reset","Page","app/auth/forgot-password/page.tsx","Enter email, submit","Form","POST /api/auth/forgot-password","fetch","app/auth/forgot-password/page.tsx:20"
"WF-01c","2","Complete reset","Page","app/auth/reset-password/page.tsx","Enter new password","Form","POST /api/auth/reset-password","fetch","app/auth/reset-password/page.tsx:69"
"WF-01d","1","Accept invite","Page","app/auth/accept-invite/page.tsx","Complete registration","Form","POST /api/auth/accept-invite","fetch","app/auth/accept-invite/page.tsx:84"
"WF-02a","1","View boards","Page","app/dashboard/boards/page.tsx","Navigate to boards","Page load","GET /api/boards","fetch","app/dashboard/boards/page.tsx:255"
"WF-02a","2","Open create modal","Component","components/boards/create-board-modal.tsx","Click New Board","Button","None","None","components/boards/create-board-modal.tsx"
"WF-02a","3","Submit new board","Component","components/boards/create-board-modal.tsx","Fill form, submit","Form","POST /api/boards","fetch","components/boards/create-board-modal.tsx:226"
"WF-02b","1","Edit board","Component","components/boards/edit-board-modal.tsx","Click board, edit","Modal","PATCH /api/boards/[id]","fetch","components/boards/edit-board-modal.tsx:222"
"WF-02c","1","View jobs list","Page","app/dashboard/jobs/page.tsx","Navigate to jobs","Page load","GET /api/task-instances","fetch","app/dashboard/jobs/page.tsx:179"
"WF-02c","2","Select board","Page","app/dashboard/jobs/page.tsx","Choose board dropdown","Select","GET /api/boards/[id]","fetch","app/dashboard/jobs/page.tsx:199"
"WF-02j","1","Load column config","Component","components/jobs/configurable-table/configurable-table.tsx","Page load","Auto","GET /api/task-instances/column-config","fetch","components/jobs/configurable-table/configurable-table.tsx:186"
"WF-02j","2","Open column settings","Component","components/jobs/configurable-table/column-header.tsx","Click gear icon","Button","None","None","components/jobs/configurable-table/column-header.tsx"
"WF-02j","3","Toggle column visibility","Component","components/jobs/configurable-table/column-header.tsx","Click eye icon to show/hide column","Toggle","PATCH /api/task-instances/column-config","fetch","components/jobs/configurable-table/column-header.tsx"
"WF-02j","4","Reorder columns","Component","components/jobs/configurable-table/column-header.tsx","Click up/down arrows to reorder","Button","PATCH /api/task-instances/column-config","fetch","components/jobs/configurable-table/column-header.tsx"
"WF-03a","1","Open create job","Page","app/dashboard/jobs/page.tsx","Click New Job","Button","None","None","app/dashboard/jobs/page.tsx"
"WF-03a","2","Submit job","Page","app/dashboard/jobs/page.tsx","Fill form, submit","Form","POST /api/task-instances","fetch","app/dashboard/jobs/page.tsx:376"
"WF-03b","1","Create TABLE job","Page","app/dashboard/jobs/page.tsx","Select TABLE type","Select","POST /api/task-instances","fetch","app/dashboard/jobs/page.tsx:376"
"WF-03b","2","Edit schema","Component","components/jobs/table/data-tab.tsx","Modify columns","Form","PATCH /api/task-lineages/[id]/schema","fetch","components/jobs/table/data-tab.tsx:116"
"WF-03d","1","Open import modal","Component","components/jobs/table/import-modal.tsx","Click Import","Button","None","None","components/jobs/table/import-modal.tsx"
"WF-03d","2","Upload file","Component","components/jobs/table/import-modal.tsx","Select CSV file","FileInput","POST /api/task-instances/[id]/table/preview-import","fetch","components/jobs/table/import-modal.tsx:297"
"WF-03d","3","Confirm import","Component","components/jobs/table/import-modal.tsx","Click Confirm","Button","POST /api/task-instances/[id]/table/import","fetch","components/jobs/table/import-modal.tsx:328"
"WF-03d","4","Edit cell","Component","components/jobs/table/data-tab.tsx","Click cell, edit","Cell","PATCH /api/task-instances/[id]/table/cell","fetch","components/jobs/table/data-tab.tsx:135"
"WF-03d","5","Sign off dataset","Component","components/jobs/table/data-tab.tsx","Click Sign Off","Button","POST /api/task-instances/[id]/table/signoff","fetch","components/jobs/table/data-tab.tsx:137"
"WF-03e","1","View compare tab","Component","components/jobs/table/compare-view.tsx","Click Compare tab","Tab","GET /api/task-instances/[id]/table/compare","fetch","components/jobs/table/compare-view.tsx:81"
