"API Route","HTTP Methods","Sub-Workflow ID(s)","Parent Workflow(s)","Job Capability","Caller Type","Call Style","Evidence","Services Used","Status"
"/api/auth/signup","POST","WF-01a","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/signup/page.tsx:48","auth-email.service.ts","GREEN"
"/api/auth/[...nextauth]","ALL","WF-01b","PWF-01","N/A","EXTERNAL","INTERNAL","NextAuth framework","lib/auth.ts","GREEN"
"/api/auth/forgot-password","POST","WF-01c","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/forgot-password/page.tsx:20","auth-email.service.ts","GREEN"
"/api/auth/reset-password","GET, POST","WF-01c","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/reset-password/page.tsx:33,69","None","GREEN"
"/api/auth/accept-invite","GET, POST","WF-01d","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/accept-invite/page.tsx:42,84","auth-email.service.ts","GREEN"
"/api/auth/verify","GET","WF-01a","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/verify-email/page.tsx:27","None","GREEN"
"/api/boards","GET, POST","WF-02a, WF-02c","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx:255,452","board.service.ts","GREEN"
"/api/boards/[id]","GET, PATCH, DELETE","WF-02b, WF-02f, WF-02g, WF-02h","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx:273,400,416,438,474","board.service.ts","GREEN"
"/api/boards/team-members","GET","WF-02d","PWF-02","N/A","FRONTEND","DIRECT_FETCH","components/boards/create-board-modal.tsx:175","board.service.ts","GREEN"
"/api/boards/column-config","GET, PATCH","WF-02n","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx (BoardColumnHeader)","Organization.features (boardColumns)","GREEN"
"/api/task-instances","GET, POST","WF-02c, WF-03a, WF-03b, WF-03c","PWF-02, PWF-03","Core, Table, Reconciliation","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/page.tsx:179,376,443,505","task-instance.service.ts","GREEN"
"/api/task-instances/column-config","GET, PATCH","WF-02j","PWF-02","N/A","FRONTEND","DIRECT_FETCH","components/jobs/configurable-table/configurable-table.tsx:186,209","None (JobColumnConfig model)","GREEN"
