"Sub-Workflow ID","Parent ID","Name","Legacy ID","Job Capability","Status","User Goal","UI Entry Point","Primary API Routes","Key Services","Feature Flags"
"WF-01a","PWF-01","Sign Up / Registration","WF-01","N/A","GREEN","New user creates an account and organization","/signup","POST /api/auth/signup","auth-email.service.ts","None"
"WF-01b","PWF-01","Sign In / Sign Out","WF-02","N/A","GREEN","User authenticates to access dashboard","/auth/signin","POST /api/auth/[...nextauth]","lib/auth.ts","None"
"WF-01c","PWF-01","Password Reset","WF-03","N/A","GREEN","User resets forgotten password via email link","/auth/forgot-password, /auth/reset-password","POST /api/auth/forgot-password, POST /api/auth/reset-password","auth-email.service.ts","None"
"WF-01d","PWF-01","Accept Team Invite","-","N/A","GREEN","Invited user joins an existing organization","/auth/accept-invite","POST /api/auth/accept-invite","auth-email.service.ts","None"
"WF-02a","PWF-02","Create Board","WF-04","N/A","GREEN","User creates a new board for a period","/dashboard/boards","POST /api/boards","board.service.ts","None"
"WF-02b","PWF-02","Edit Board Settings","WF-04","N/A","GREEN","User modifies board name, dates, or settings","/dashboard/boards","PATCH /api/boards/[id]","board.service.ts","None"
"WF-02c","PWF-02","View Board with Jobs","WF-05","N/A","GREEN","User views all jobs assigned to a board","/dashboard/jobs","GET /api/boards/[id], GET /api/task-instances","board.service.ts, task-instance.service.ts","None"
"WF-02d","PWF-02","Assign Board Collaborators","-","N/A","GREEN","User adds team members to collaborate on a board","/dashboard/boards","POST /api/boards/team-members","board.service.ts","None"
"WF-02e","PWF-02","Set Board Cadence / Periods","-","N/A","GREEN","User selects board cadence (Daily/Weekly/Monthly/Quarterly/Year-End/Ad-Hoc) during creation","/dashboard/boards (create modal)","POST /api/boards","board.service.ts","None"
"WF-02f","PWF-02","Mark Board Complete","-","N/A","GREEN","User marks board done, triggering snapshots for comparison","/dashboard/boards","PATCH /api/boards/[id]","board.service.ts","None"
"WF-02g","PWF-02","Archive / Restore Board","WF-04","N/A","GREEN","User archives old boards or restores them","/dashboard/boards","PATCH /api/boards/[id]","board.service.ts","None"
"WF-02h","PWF-02","Delete Board","WF-04","N/A","GREEN","User permanently removes a board","/dashboard/boards","DELETE /api/boards/[id]","board.service.ts","None"
"WF-02i","PWF-02","AI Summarize Board Status","-","N/A","GREEN","AI generates summary of board completion, risks, and blockers","/dashboard/boards","GET /api/boards/[id]/ai-summary","board-summary.service.ts","None"
"WF-02j","PWF-02","Manage Table Column Visibility","-","N/A","GREEN","User shows, hides, or reorders system columns in the jobs table view (gear icon)","/dashboard/jobs","GET /api/task-instances/column-config, PATCH /api/task-instances/column-config","None (uses JobColumnConfig model)","None"
